(.venv) jacksoncamp@Jacksons-MacBook-Pro mod4-jacksoncamp42 % python3 project/run_mnist_multiclass.py
Epoch 4 loss 0.7677387354504785 valid acc 15/16
Epoch 4 loss 0.8277076008788102 valid acc 12/16
Epoch 4 loss 0.9460122561463249 valid acc 14/16
Epoch 4 loss 0.3383730572037985 valid acc 13/16
Epoch 4 loss 0.8943877229562034 valid acc 15/16
Epoch 4 loss 0.2783734687205185 valid acc 12/16
Epoch 4 loss 0.9930661499380375 valid acc 15/16
Epoch 4 loss 0.7808545181725863 valid acc 14/16
Epoch 4 loss 0.6448156551035875 valid acc 13/16
Epoch 4 loss 0.9822530305017558 valid acc 12/16
Epoch 4 loss 0.3622626259851429 valid acc 15/16
Epoch 4 loss 0.6623196293323854 valid acc 11/16
Epoch 4 loss 0.5539615543640916 valid acc 11/16
Epoch 4 loss 0.3720006241847137 valid acc 12/16
Epoch 4 loss 0.6167913143209381 valid acc 13/16
Epoch 4 loss 1.7155130781561407 valid acc 14/16
Epoch 4 loss 1.306742212141351 valid acc 12/16
Epoch 4 loss 0.7574944210619489 valid acc 11/16
Epoch 4 loss 0.551777138318006 valid acc 13/16
Epoch 4 loss 0.9033541299726915 valid acc 12/16
Epoch 4 loss 0.6458833467127368 valid acc 15/16
Epoch 4 loss 0.2549864605632557 valid acc 15/16
Epoch 4 loss 0.7288217042072657 valid acc 13/16
Epoch 4 loss 0.9470580259926631 valid acc 14/16
Epoch 4 loss 0.5588481511956854 valid acc 14/16
Epoch 4 loss 0.44597064077092785 valid acc 14/16
Epoch 4 loss 0.27539097983119404 valid acc 14/16
Epoch 4 loss 0.6368446010360116 valid acc 13/16
Epoch 4 loss 1.4963920701467206 valid acc 13/16
Epoch 4 loss 0.8631341307942987 valid acc 11/16
Epoch 4 loss 0.3061969200393982 valid acc 13/16
Epoch 4 loss 0.5047558728085833 valid acc 12/16
Epoch 4 loss 0.577250924728278 valid acc 15/16
Epoch 4 loss 1.0354960165400546 valid acc 14/16
Epoch 4 loss 0.30152815964938073 valid acc 13/16
Epoch 4 loss 0.7908508442959041 valid acc 13/16
Epoch 4 loss 0.5157482315361392 valid acc 12/16
Epoch 4 loss 0.5756027751373357 valid acc 11/16
Epoch 4 loss 1.121707950096551 valid acc 13/16
Epoch 4 loss 1.2814209731382422 valid acc 12/16
Epoch 4 loss 1.12656731903852 valid acc 11/16
Epoch 4 loss 0.31141304147650095 valid acc 13/16
Epoch 4 loss 0.46298648710025053 valid acc 13/16
Epoch 4 loss 1.6793603736813767 valid acc 14/16
Epoch 5 loss 0.010278838241354145 valid acc 11/16
Epoch 5 loss 0.8591464609514039 valid acc 13/16
Epoch 5 loss 1.116317493499125 valid acc 13/16
Epoch 5 loss 0.6487965151036825 valid acc 12/16
Epoch 5 loss 0.36474520482278994 valid acc 13/16
Epoch 5 loss 0.46200238545742994 valid acc 13/16
Epoch 5 loss 0.835195718049422 valid acc 15/16
Epoch 5 loss 1.0081082728081574 valid acc 14/16
Epoch 5 loss 1.035283130558465 valid acc 15/16
Epoch 5 loss 0.48871046891766745 valid acc 14/16
Epoch 5 loss 0.5583160896491841 valid acc 12/16
Epoch 5 loss 1.4833370975709832 valid acc 12/16
Epoch 5 loss 1.1398734576353338 valid acc 11/16
Epoch 5 loss 0.9796806371668318 valid acc 13/16
Epoch 5 loss 1.568268522237768 valid acc 13/16
Epoch 5 loss 0.558813475577719 valid acc 13/16
Epoch 5 loss 1.571147496435425 valid acc 10/16
Epoch 5 loss 1.0289374071649973 valid acc 10/16
Epoch 5 loss 1.01466941204312 valid acc 14/16
Epoch 5 loss 0.6184516865006174 valid acc 14/16
Epoch 5 loss 0.9251956739398242 valid acc 13/16
Epoch 5 loss 0.4300115560776812 valid acc 12/16
Epoch 5 loss 0.20432086260055793 valid acc 12/16
Epoch 5 loss 0.5057436054983058 valid acc 12/16
Epoch 5 loss 0.28720201133615264 valid acc 15/16
Epoch 5 loss 0.7586738726414264 valid acc 14/16
Epoch 5 loss 0.5749291298662812 valid acc 12/16
Epoch 5 loss 0.5797814223060771 valid acc 14/16
Epoch 5 loss 0.3606803926621873 valid acc 14/16
Epoch 5 loss 0.23558805313153022 valid acc 12/16
Epoch 5 loss 0.47294954512775467 valid acc 13/16
Epoch 5 loss 0.2924744909579073 valid acc 13/16
Epoch 5 loss 0.10892300830753411 valid acc 10/16
Epoch 5 loss 0.17149858723354167 valid acc 12/16
Epoch 5 loss 1.2451471072727218 valid acc 12/16
Epoch 5 loss 0.6376046979753995 valid acc 14/16
Epoch 5 loss 0.6218625794790859 valid acc 12/16
Epoch 5 loss 0.5734125965094459 valid acc 13/16
Epoch 5 loss 0.7752531881936372 valid acc 13/16
Epoch 5 loss 0.38501285059900275 valid acc 13/16
Epoch 5 loss 0.23824983734717237 valid acc 11/16
Epoch 5 loss 0.38576417270128616 valid acc 15/16
Epoch 5 loss 0.9440713973509025 valid acc 12/16
Epoch 5 loss 0.28311856019031284 valid acc 14/16
Epoch 5 loss 0.3704668916163711 valid acc 13/16
Epoch 5 loss 0.1932714480468453 valid acc 12/16
Epoch 5 loss 0.32688451471540303 valid acc 13/16
Epoch 5 loss 1.4789422258539813 valid acc 14/16
Epoch 5 loss 0.6256418110817362 valid acc 11/16
Epoch 5 loss 0.2585858645441502 valid acc 14/16
Epoch 5 loss 0.3455754678732773 valid acc 11/16
Epoch 5 loss 0.5138965139415473 valid acc 14/16
Epoch 5 loss 0.8102231705385283 valid acc 12/16
Epoch 5 loss 0.24108010600116156 valid acc 13/16
Epoch 5 loss 0.698222336943535 valid acc 14/16
Epoch 5 loss 0.44364056123578977 valid acc 14/16
Epoch 5 loss 0.4289801726947987 valid acc 11/16
Epoch 5 loss 0.7622134514956352 valid acc 13/16
Epoch 5 loss 1.018187753145912 valid acc 13/16
Epoch 5 loss 1.309062133224932 valid acc 13/16
Epoch 5 loss 0.3067976482075358 valid acc 10/16
Epoch 5 loss 0.3929941415442729 valid acc 12/16
Epoch 5 loss 1.3482143223288157 valid acc 12/16
Epoch 6 loss 0.006721399098306305 valid acc 16/16
Epoch 6 loss 0.7013793579279911 valid acc 13/16
Epoch 6 loss 0.8118120530501047 valid acc 15/16
Epoch 6 loss 0.6469794743559614 valid acc 13/16
Epoch 6 loss 0.27743130167335933 valid acc 14/16
Epoch 6 loss 0.4028228861302299 valid acc 12/16
Epoch 6 loss 0.7532595713565617 valid acc 13/16
Epoch 6 loss 0.8392438411259691 valid acc 11/16
Epoch 6 loss 0.8291191591236966 valid acc 12/16
Epoch 6 loss 0.2910878595369948 valid acc 13/16
Epoch 6 loss 0.7643729161088378 valid acc 11/16
Epoch 6 loss 1.3323793996638909 valid acc 12/16
Epoch 6 loss 0.8585156218731373 valid acc 13/16
Epoch 6 loss 0.672594720732463 valid acc 9/16
Epoch 6 loss 1.0896011832905814 valid acc 10/16
Epoch 6 loss 0.5051361444756632 valid acc 13/16
Epoch 6 loss 1.061182757905925 valid acc 11/16
Epoch 6 loss 0.9295128000919787 valid acc 14/16
Epoch 6 loss 0.5882361713803075 valid acc 12/16
Epoch 6 loss 0.2609367632979742 valid acc 12/16
Epoch 6 loss 0.7326092105106397 valid acc 14/16
Epoch 6 loss 0.34888240177223206 valid acc 12/16
Epoch 6 loss 0.11200149316747546 valid acc 13/16
Epoch 6 loss 0.3788886063906273 valid acc 14/16
Epoch 6 loss 0.22231528062871922 valid acc 14/16
Epoch 6 loss 0.6487299584530426 valid acc 15/16
Epoch 6 loss 0.3608986478466898 valid acc 13/16
Epoch 6 loss 0.5482040511483663 valid acc 14/16
Epoch 6 loss 0.5331003725751639 valid acc 13/16
Epoch 6 loss 0.05459069323519213 valid acc 14/16
Epoch 6 loss 0.3777243189364232 valid acc 12/16
Epoch 6 loss 0.22202280789600376 valid acc 13/16
Epoch 6 loss 0.08809381166036637 valid acc 14/16
Epoch 6 loss 0.09152950117643438 valid acc 14/16
Epoch 6 loss 1.2596068727461882 valid acc 14/16
Epoch 6 loss 0.42738319649004564 valid acc 12/16
Epoch 6 loss 0.4491163000940458 valid acc 12/16
Epoch 6 loss 0.580291042620869 valid acc 9/16
Epoch 6 loss 0.7591676845013384 valid acc 13/16
Epoch 6 loss 0.2542334525175134 valid acc 14/16
Epoch 6 loss 0.17333883863463906 valid acc 11/16
Epoch 6 loss 0.17171020848308588 valid acc 14/16
Epoch 6 loss 0.7517027075005157 valid acc 12/16
Epoch 6 loss 0.15408067576955867 valid acc 13/16
Epoch 6 loss 0.4305131052191195 valid acc 11/16
Epoch 6 loss 0.344054818625462 valid acc 12/16
Epoch 6 loss 0.43015866166167116 valid acc 13/16
Epoch 6 loss 0.9999346997618473 valid acc 14/16
Epoch 6 loss 0.5000751400066721 valid acc 13/16
Epoch 6 loss 0.31858482371378605 valid acc 13/16
Epoch 6 loss 0.18469397264484033 valid acc 15/16
Epoch 6 loss 0.448674807835422 valid acc 14/16
Epoch 6 loss 0.3966337865460836 valid acc 15/16
Epoch 6 loss 0.19806975151647943 valid acc 14/16
Epoch 6 loss 0.6937299897111906 valid acc 12/16
Epoch 6 loss 0.44243659943529373 valid acc 12/16
Epoch 6 loss 0.9195950355228837 valid acc 14/16
Epoch 6 loss 0.7359164956373445 valid acc 12/16
Epoch 6 loss 0.7712431120421671 valid acc 11/16
Epoch 6 loss 0.5988668771266533 valid acc 12/16
Epoch 6 loss 0.2955207786300008 valid acc 12/16
Epoch 6 loss 0.21875615470143683 valid acc 12/16
Epoch 6 loss 0.7924484699107708 valid acc 11/16
Epoch 7 loss 0.004091341740659064 valid acc 12/16
Epoch 7 loss 0.5863254441092749 valid acc 11/16
Epoch 7 loss 0.6557803795909596 valid acc 13/16
Epoch 7 loss 0.4969984942896363 valid acc 14/16
Epoch 7 loss 0.15594095038489225 valid acc 13/16
Epoch 7 loss 0.25400813329016675 valid acc 14/16
Epoch 7 loss 0.48879507009208645 valid acc 12/16
Epoch 7 loss 0.7050669108530981 valid acc 11/16
Epoch 7 loss 0.8101318162639359 valid acc 12/16
Epoch 7 loss 0.23799245189850948 valid acc 13/16
Epoch 7 loss 0.5003997002663434 valid acc 13/16
Epoch 7 loss 1.1557881808858086 valid acc 14/16
Epoch 7 loss 0.6806966868402241 valid acc 15/16
Epoch 7 loss 0.326144435644943 valid acc 11/16
Epoch 7 loss 0.768571397595418 valid acc 14/16
Epoch 7 loss 0.4091346889756059 valid acc 10/16
Epoch 7 loss 0.787025906659018 valid acc 13/16
Epoch 7 loss 0.5759700211609526 valid acc 12/16
Epoch 7 loss 0.567959928791112 valid acc 14/16
Epoch 7 loss 0.4580534497254636 valid acc 14/16
Epoch 7 loss 0.7872706428300925 valid acc 13/16
Epoch 7 loss 0.2011399202277513 valid acc 11/16
Epoch 7 loss 0.09448962516453077 valid acc 12/16
Epoch 7 loss 0.2796335424275834 valid acc 13/16
Epoch 7 loss 0.20297519852079637 valid acc 14/16
Epoch 7 loss 0.6743370344931765 valid acc 14/16
Epoch 7 loss 0.31131119058601303 valid acc 15/16
Epoch 7 loss 0.251007645824397 valid acc 15/16
Epoch 7 loss 0.17009978119038435 valid acc 11/16
Epoch 7 loss 0.058645937741826054 valid acc 12/16
Epoch 7 loss 0.2163042570779133 valid acc 12/16
Epoch 7 loss 0.1952017380753151 valid acc 12/16
Epoch 7 loss 0.07070372626307915 valid acc 14/16
Epoch 7 loss 0.07646617073023118 valid acc 14/16
Epoch 7 loss 1.1267809438783143 valid acc 12/16
Epoch 7 loss 0.3750898895109154 valid acc 12/16
Epoch 7 loss 0.25387639532389683 valid acc 14/16
Epoch 7 loss 0.6092716434610508 valid acc 14/16
Epoch 7 loss 0.716614105515794 valid acc 12/16
Epoch 7 loss 0.31982992158606605 valid acc 15/16
Epoch 7 loss 0.11210134202894596 valid acc 14/16
Epoch 7 loss 0.2909760187112481 valid acc 10/16
Epoch 7 loss 0.7850873927748799 valid acc 14/16
Epoch 7 loss 0.23261926953266743 valid acc 13/16
Epoch 7 loss 0.30430937307820194 valid acc 15/16
Epoch 7 loss 0.22052318936867366 valid acc 14/16
Epoch 7 loss 0.2384861251367194 valid acc 13/16
Epoch 7 loss 0.9507246577395396 valid acc 13/16
Epoch 7 loss 0.1613047653961102 valid acc 13/16
